"code","area","perimeter","contactWithRoad","widthContactWithRoad","numberOfNeighborhood","HausDist","DisHausDst","CodeAppar","AspectRatio"
"77285-BT-0183","636.916599999227","131.54462824117851","true","91.82911468186221","2","NA","NA","NA","0.3510967109217414"
"77222-AH-0255","216.73155000131663","72.96967039889793","true","18.982731552589044","3","NA","NA","NA","0.24711853213786544"
"77243-AY-0369","180.96695000219395","53.715394748209434","true","29.22621656882081","3","NA","NA","NA","0.6048031614956553"
"77152-AR-0750","129.82854999590703","52.530394678418645","true","21.593175103021835","6","NA","NA","NA","0.31745931958630147"
"77243-BE-0531","982.8779999959165","191.22484420740025","true","24.380798169942988","6","NA","NA","NA","0.1434426830243492"
"77152-AN-0529","648.0017000092553","101.42853462275741","true","83.66866242965872","2","NA","NA","NA","0.9714502601389619"
"77285-BL-0477","422.73494998946086","82.68172001142004","true","43.31984044008509","2","NA","NA","NA","0.6296938199957838"
"77285-BY-0249","790.2051000042813","123.71813781430568","true","62.979752043381545","4","NA","NA","NA","0.4246023899129554"
"77061-0C-2082","734.3382500075131","123.83193482533932","true","109.7265174791188","2","NA","NA","NA","0.3230665556590346"
"77312-AN-0737","32.9555999999499","23.269485941438038","false","0.0","6","NA","NA","NA","0.5790053598061602"
"77312-AH-0935","78.14865000105803","76.58874791361849","true","2.059780419432053","4","NA","NA","NA","1.055764430872699"
"77152-AB-0414","708.7838000012567","113.57768156466808","true","39.39563313925873","4","NA","NA","NA","0.5225855828232016"
"77337-BC-0303","363.6792000063309","84.78452172927817","true","13.988284792350585","4","NA","NA","NA","0.36487311216136875"
"77390-0D-2292","374.6455500089062","84.63946506843529","true","14.457775465171977","7","NA","NA","NA","0.5560037017812925"
"77243-AH-0377","34.206850005727006","80.19425238817284","true","42.79215680670437","2","NA","NA","NA","0.024711081537771313"
"77317-AB-0690","417.02970000231613","83.81558691819558","true","26.562569120530608","6","NA","NA","NA","0.9966072883064198"
"77243-AY-0378","371.8121999990588","79.199633969581","true","31.86509452197547","3","NA","NA","NA","0.7345389779120753"
